Indicateur;label;Population_generale;Personnes_agees;Enfants__adolescents__jeunes_adultes;Population_precaire;Personnes_handicapees;Femmes__accouchement_grossesse____Perinatalite;Diabete_et_autres_maladies_endocriniennes;Sante_mentale;Cancer;Maladie_de_l_appareil_genito_urinaire__dont_les_insuffisances_renales_chroniques_;Maladies_cardiovasculaires;Maladies_neurologiques_ou_degeneratives;Maladies_respiratoires_;Maladies_de_l_appareil_digestif;Maladies_infectieuses;Pathologies_du_systeme_osteo_articulaire;Traumatismes_et_pathologie_accidentelle;Autres_pathologies;Coordination_continuite;Qualite_et_securite_des_soins;Prevention_depistage;Accessibilite__geographique__financier__autres_;Habitudes_de_vie_et_addictions;Determinants_environnementaux;E_sante__systemes_d_information_de_sante__telesante__telemedecine_;Droits_d_usagers_democratie_sanitaire;Mesures_d_inegalites_et_de_disparites_territoriales_de_sante;Contexte_demographique_et_socio_economique;Offre_de_soins;Offre_medico_sociale;Recours_aux_soins;Protection_sociale;Depenses_de_sante;Etat_de_sante;index
Frais de déplacement des médecins libéraux actifs à part entière (APE) spécialistes en 16- Chirurgie urologique par APE;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2603
Frais de déplacement des médecins libéraux actifs à part entière (APE) spécialistes en TOTAL CHIRURGIE y compris 10,16,41  (43, 44, 46, 47, 48, 49, 04, 10, 16, 41) par APE;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2605
Frais de déplacement des médecins libéraux actifs à part entière (APE) spécialistes en TOTAL STOMATOLOGIE  (45, 18) par APE;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2631
Frais de déplacement des médecins libéraux actifs à part entière (APE) spécialistes en 33- Psychiatrie par APE;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2635
Frais de déplacement des médecins libéraux actifs à part entière (APE) spécialistes en 42- Endocrinologie et métabolisme par APE;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2640
Honoraires totaux des médecins libéraux actifs à part entière (APE) spécialistes en 20- Réanimation médicale par APE;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2658
Honoraires totaux des médecins libéraux actifs à part entière (APE) spécialistes en 47- Chirurgie thoracique et cardio-vasculaire par APE;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2664
Honoraires totaux des médecins libéraux actifs à part entière (APE) spécialistes en 08- Gastro-entérologie et hépatologie par APE;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2683
Honoraires totaux des Orthophonistes libéraux actifs à part entière (APE) par APE;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2719
Effectifs des médecins libéraux actifs à part entière (APE) spécialistes en 74- Oncologie radiothérapique par tranches d'honoraires;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2740
Effectifs des médecins libéraux actifs à part entière (APE) spécialistes en 12- Pédiatrie par tranches d'honoraires;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2756
Effectifs des médecins libéraux actifs à part entière (APE) spécialistes en TOTAL PEDIATRIE  (78, 12) par tranches d'honoraires;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2757
Effectifs des médecins libéraux actifs à part entière (APE) spécialistes en 45- Chirurgie maxillo-faciale et stomatologie par tranches d'honoraires;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2761
Effectifs des Chirurgiens-dentistes actifs à part entière (APE) par tranches d'honoraires;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2776
Nombre moyen de patients par médecin libéral APE Pédiatre;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2797
Nombre moyen de patients par médecin libéral APE Rhumatologue;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2798
Nombre moyen de patients par orthophoniste libéral APE;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2852
Effectif de personnes bénéficiant d’une prise en charge pour ALD - 6. Maladies chroniques actives du foie et cirrhoses;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2873
Effectif de personnes bénéficiant d’une prise en charge pour ALD - 19. Néphropathie chronique grave et syndrome néphrotique primitif;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2886
Effectif de personnes bénéficiant d’une prise en charge pour ALD - 29. Tuberculose active, lèpre;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2896
Taux de prévalence des bénéficiaires pour ALD - 22. Polyarthrite rhumatoïde évolutive;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2924
 Âge moyen des  bénéficiaires pour ALD - 1. Accident vasculaire cérébral invalidant;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2973
 Âge moyen des  bénéficiaires pour ALD - 25. Sclérose en plaques;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2997
 Taux de décès des  bénéficiaires pour ALD - 19. Néphropathie chronique grave et syndrome néphrotique primitif;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3026
 Taux de décès des  bénéficiaires pour ALD - 22. Polyarthrite rhumatoïde évolutive;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3029
 Taux de décès des  bénéficiaires pour ALD - 99 Cause médicale d'ALD non précisée;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3038
Part de personnes en ALD Maladies cardioneurovasculaires selon l'ancienneté de leur ALD;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3084
Part de personnes en ALD 13.Maladie coronaire selon l'ancienneté de leur ALD;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3085
Taux d'incidence pour l'ALD 25.Sclérose en plaques;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3176
Taux d'incidence pour le total ALD30;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3182
Part de femmes dans les nouveaux bénéficiaires pour l'ALD 27.Spondylarthrite grave;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3209
Nombre de nouveaux bénéficiaires pour l'ALD 24. Rectocolite hémorragique et maladie de Crohn évolutives par sexe et tranche d'âge;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;3268
Effectifs de personnes prises en charge pour Accident vasculaire cérébral aigu par sexe et âge;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3306
Effectifs de personnes prises en charge pour Epilepsie par sexe et âge;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3349
 Pourcentages de personnes prises en charge pour Syndrome coronaire aigu;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3367
 Pourcentages de personnes prises en charge pour Cancer du côlon actif;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3385
Nombre de décès par Suicide;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3510
Nombre de décès par Cancer des poumons;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3513
Taux comparatif de décès par Maladies de la peau (pop. réf. Rhône-Alpes RP 2008);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3527
Taux comparatif de décès par Complications grossesse (pop. réf. France métro. RP 2008);1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3552
Indice comparatif de décès par Affections en période périnatale (pop. réf. Rhône-Alpes RP 2008);1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3582
Indice comparatif de décès par Maladies des organes des sens (pop. réf. Rhône-Alpes RP 2008);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3583
Nombre annuel d'admissions en ALD pour 14-Insuffisance respiratoire;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;3607
Nombre annuel d'admissions en ALD pour 29-Tuberculose active, lèpre;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;3622
Nombre annuel d'admissions en ALD pour Maladies neurologiques;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;3628
Taux comparatif annuel d'admissions en ALD pour Maladies neurologiques (pop. réf. France métro. RP 2008);1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;3702
Indice comparatif annuel d'admission en ALD pour 19-Néphropathie, syndrome néphrotique (pop. réf. Rhône-Alpes RP 2008);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;3723
Indice comparatif annuel d'admission en ALD pour 30-Tumeurs (pop. réf. Rhône-Alpes RP 2008);1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;3734
Indice comparatif annuel d'admission en ALD pour Maladies neurologiques (pop. réf. Rhône-Alpes RP 2008);1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;3739
Nombre de personnes prises en charge dans le cadre d'une ALD (prévalence) pour 25-Sclérose en plaques;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;3766
Taux comparatif annuel de prévalence pour ALD  25-Sclérose en plaques (pop. réf. Rhône-Alpes RP 2008);1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;3797
Indice comparatif annuel de prévalence pour ALD  10-Hémoglobinopathies, hémolyses (pop. réf. Rhône-Alpes RP 2008);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;3844
Données des CS8 dans la catégorie : Sexe - Taux de réponse (%);1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3887
Nombre de prématurés (séjours);1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3923
Nombre de tentatives de suicide hospitalisées ;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3926
Taux comparatif annuel de patients hospitalisés pour Maladie endocriniennes, nutritionnelles , …   (pop. réf. Rhône-Alpes RP 2008);1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3931
Taux comparatif annuel de patients hospitalisés pour Lésions traumatiques, empoisonnements, …   (pop. réf. Rhône-Alpes RP 2008);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3945
Taux comparatif annuel de patients hospitalisés pour Grossesse, accouchement et puerpéralité   (pop. réf. France métro. RP 2008);1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3971
Taux bruts d'accouchements;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4014
Taux bruts d'interruptions volontaires de grossesse;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4015
Taux de prématurés;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4016
Taux comparatif d' hospitalisation psychiatrique pour des Patients de 15 ans et plus vus à temps complet, partiel ou ambulatoire (pop. réf. Rhône-Alpes RP 2008);1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4022
Taux brut d'hospitalisation psychiatrique pour des Patients de moins de 15 ans vus exclusivement en ambulatoire;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4023
Taux comparatif d' hospitalisation psychiatrique pour des Patients de 15 ans et plus vus exclusivement en ambulatoire (pop. réf. Rhône-Alpes RP 2008);1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4024
Indice comparatif d'hospitalisation psychiatrique pour des Patients de moins de 15 ans vus à temps complet, partiel ou ambulatoire (pop. réf. Rhône-Alpes RP 2008);1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4025
Indice comparatif d'hospitalisation psychiatrique pour des Patients de 15 ans et plus vus à temps complet, partiel ou ambulatoire (pop. réf. Rhône-Alpes RP 2008);1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4026
Indice comparatif d'hospitalisation psychiatrique pour des Patients de moins de 15 ans vus exclusivement en ambulatoire (pop. réf. Rhône-Alpes RP 2008);1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4027
Indice comparatif d'hospitalisation psychiatrique pour des Patients de 15 ans et plus vus exclusivement en ambulatoire (pop. réf. Rhône-Alpes RP 2008);1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4028
Nombre de Médecins généralistes;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4029
Nombre de Pédiatres;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4030
Nombre de Ophtalmologues;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4031
Nombre de Sages-femmes;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4032
Nombre de Psychiatres;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4033
Nombre de Gynécologues;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4034
Nombre de Dentistes;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4035
Nombre de Infirmiers;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4036
Nombre de Masseurs-kinésithérapeutes;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4037
Nombre de Orthophonistes;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4038
Nombre de patients assurés du régime général sous traitement Neuroleptique;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4070
Nombre de patients assurés du régime général sous traitement Antidépresseur;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4071
Nombre de patients assurés du régime général sous traitement Psychotrope (hors antidépresseurs et hors neuroleptiques);1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4072
Nombre de patients assurés du régime général sous traitement Antiasthmatique;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4073
Nombre de patients assurés du régime général sous traitement Antidiabétique;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4074
Nombre de patients assurés du régime général sous traitement Insuline;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4075
Nombre de patients assurés du régime général sous traitement Anti-hypertenseur;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4076
Nombre de patients assurés du régime général sous traitement Anti-allergique;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4077
Taux comparatif annuel patients assurés du régime général de 65 ans et plus sous traitement Anti-alzheimer (pop. réf. Rhône-Alpes RP 2008);1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4078
Nombre de patients de 65 ans et plus vaccinés de 2010 à 2013;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4112
Taux comparatif annuel de personnes de 65 ans et plus vaccinées en 2013 (pop. réf. Rhône-Alpes RP 2008);1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;4113
Indice comparatif annuel de personnes de 65 ans et plus vaccinées (pop. réf. Rhône-Alpes RP 2008);1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;4114
Taux brut annuel de personnes de 65 ans et plus vaccinées;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4115
Densité de population;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4174
"Part des 15 ans ou plus ""Artisans, commerçants, chefs d'entreprise""";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4211
Taux de chômage (au recensement);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4225
Effectif de personnes couvertes par le RSA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4234
Part des foyers fiscaux non imposables;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4247
Effectif de gynécologues libéraux;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4260
Part des ophtalmologues libéraux de plus de 55 ans ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4266
Part des orthophonistes libéraux en secteur 2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4295
Nombre de consultations chez un médecin généraliste (régime général);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4323
Taux brut de consultations chez un médecin généraliste (régime général);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4324
Fragilité socio économique 55 ans et plus (IR);1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4430
Fragilité socio économique 55 ans et plus (RG);1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4431
Nombre d'assurés et conjoints de 55 ans et plus sans recours aux soins 12m (MSA);1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4450
Nombre de bénéficiaires en ALD (RG);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4461
Nombre de personnes de plus de 60 ans (INSEE);1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4479
Nombre de retraités bénéficiaires d'une pens. ex-inval et au titre de l'inapt. (MSA);1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4495
Part des personnes de plus de 60 ans (INSEE);1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4549
Nombre de seniors bénéficiant de la CMU-C du régime général selon la classe d'âge;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;4588
Part des seniors bénéficiant de la CMU-C du régime général selon la classe d'âge;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;4589
Nombre de retraités du régime général bénéficiaires d'une pension d'inaptitude ou assimilée selon la classe d'âge;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;4594
Part des retraités du régime général bénéficiaires d'une pension d'inaptitude ou assimilée selon la classe d'âge;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4595
Nombre de seniors non-retraités bénéficiaires d'une pension d'invalidité du régime général selon la classe d'âge;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4596
Part des seniors non-retraités bénéficiaires d'une pension d'invalidité du régime général selon la classe d'âge;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4597
Nombre de seniors du régime général sans recours aux soins dans les 12 derniers mois selon la classe d'âge;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4600
Part des seniors du régime général sans recours aux soins dans les 12 derniers mois selon la classe d'âge;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4601
Nombre de seniors du régime général en ALD selon la classe d'âge;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4604
Part des seniors du régime général en ALD selon la classe d'âge;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4605
Score moyen de la fragilité sociale des retraités du régime général selon la classe d'âge;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4607
Nombre de retraités de l'interrégime selon la classe d'âge;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4609
Age moyen de prise de la retraite à l'interrégime selon la classe d'âge;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4611
Nombre de retraités bénéficiaires du minimum vieillesse et/ou d’un complément de retraite de l'interrégime selon la classe d'âge;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4612
